PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Cabin_num,GroupId,people_in_group,Last_name,family_members,people_in_cabin,total_value_spent,spent_any,Alone,Private_cabin,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_NULL,Destination_NULL,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_NULL,Cabin_deck_T,Cabin_side_P,Cabin_side_S
0008_03,0,B/1/P,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,1,0008,3,Flatic,3.0,15.0,8033.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0009_01,0,F/1/P,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,1,0009,1,Barne,4.0,15.0,1196.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0010_01,0,G/1/S,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,1,0010,1,Baketton,5.0,15.0,785.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0011_01,0,F/2/P,28.0,0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,2,0011,1,Bertsontry,4.0,11.0,996.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0012_01,0,,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,,0012,1,Pooles,7.0,,908.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0014_01,0,F/3/P,27.0,0,1286.0,122.0,,0.0,0.0,Flats Eccle,0,3,0014,1,Eccle,1.0,16.0,1408.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0015_01,0,F/4/P,24.0,0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0,4,0015,1,Hughriend,7.0,7.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0016_01,1,F/5/P,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,5,0016,1,Upead,3.0,13.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0017_01,0,G/0/P,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,0,0017,2,Brighttt,6.0,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0017_02,0,F/6/P,14.0,0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,6,0017,2,Brighttt,6.0,12.0,413.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0020_01,1,E/0/S,1.0,0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,0,0,0020,6,Brantuarez,7.0,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0020_02,1,E/0/S,49.0,0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,0,0,0020,6,Brantuarez,7.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0020_03,1,E/0/S,29.0,0,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,0,0,0020,6,Mcfaddennon,6.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0020_04,0,E/0/S,10.0,0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,0,0020,6,Jacostanley,1.0,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0020_05,1,E/0/S,1.0,0,,0.0,0.0,0.0,0.0,Mael Brantuarez,0,0,0020,6,Brantuarez,7.0,18.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0020_06,0,E/0/S,7.0,0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,0,0020,6,Mcfaddennon,6.0,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0022_01,0,D/0/P,21.0,0,980.0,2.0,69.0,0.0,0.0,,0,0,0022,1,,,18.0,1051.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0024_01,1,C/2/S,62.0,0,0.0,0.0,,0.0,0.0,Penton Fullided,1,2,0024,1,Fullided,1.0,11.0,0.0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0025_01,0,F/6/S,15.0,0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,6,0025,1,Brookenson,3.0,12.0,1223.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0026_01,0,C/0/P,34.0,0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,0,0026,1,Unconary,2.0,18.0,7533.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0028_01,0,F/8/P,43.0,0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,8,0028,1,Mare,5.0,13.0,1309.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0030_01,0,G/4/S,32.0,0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,4,0030,1,Morsentley,4.0,7.0,1368.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0031_01,0,F/9/P,47.0,0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,9,0031,3,Datie,4.0,16.0,1625.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0031_02,0,F/9/P,2.0,0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,9,0031,3,Datie,4.0,16.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0031_03,0,F/9/P,20.0,0,,0.0,1750.0,990.0,0.0,Dontch Datie,1,9,0031,3,Datie,4.0,16.0,2740.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0034_01,1,D/1/S,28.0,0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,1,0034,1,Oingwhedly,1.0,15.0,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0035_01,0,D/1/P,23.0,0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,1,0035,1,Butte,5.0,15.0,2699.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0036_01,0,F/8/S,15.0,1,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,8,0036,1,Leodger,5.0,13.0,560.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0038_01,0,F/10/S,20.0,0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0,10,0038,1,Wheelez,7.0,12.0,3355.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0039_01,1,G/1/P,30.0,0,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,0,1,0039,1,Batthewitt,1.0,15.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0041_01,1,G/2/P,17.0,0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,2,0041,1,Moodsey,10.0,11.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0043_01,0,B/3/P,45.0,0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,3,0043,1,Cylistrand,2.0,16.0,2720.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0044_01,1,G/3/P,55.0,0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,3,0044,3,Coopelandez,6.0,16.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0044_02,1,G/3/P,4.0,0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,3,0044,3,Coopelandez,6.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0044_03,1,G/3/P,21.0,0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,3,0044,3,Coopelandez,6.0,16.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0045_01,0,F/10/P,21.0,0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,10,0045,2,Chmad,4.0,12.0,1150.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0045_02,1,F/10/P,19.0,0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,10,0045,2,Chmad,4.0,12.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0050_01,0,E/1/S,35.0,0,790.0,0.0,0.0,,0.0,Sony Lancis,0,1,0050,1,Lancis,2.0,15.0,790.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0051_01,0,E/2/S,56.0,0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0,2,0051,1,Johnshines,6.0,11.0,1491.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0052_01,0,G/6/S,,0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0,6,0052,1,Hubbarton,8.0,12.0,4689.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0053_01,0,F/11/S,25.0,0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,11,0053,1,Hickerson,4.0,16.0,1938.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0056_01,0,A/1/S,2.0,0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,1,0056,3,Tractive,6.0,15.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0056_02,1,A/1/S,38.0,0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,1,0056,3,Tractive,6.0,15.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0056_03,0,A/1/S,27.0,0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1,1,0056,3,Tractive,6.0,15.0,4544.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0058_01,1,G/7/S,36.0,0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,7,0058,1,Ayalazquez,3.0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0061_01,0,F/12/S,22.0,0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0,12,0061,1,Salez,4.0,5.0,2666.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0062_01,0,F/13/S,62.0,0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0,13,0062,1,Greeves,6.0,16.0,609.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0064_01,1,F/14/S,15.0,0,0.0,0.0,0.0,0.0,0.0,,1,14,0064,2,,,16.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0064_02,1,E/3/S,33.0,0,0.0,0.0,,0.0,0.0,Colatz Keen,1,3,0064,2,Keen,1.0,16.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1
0066_01,0,G/6/P,62.0,0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0,6,0066,1,Pecketton,3.0,12.0,351.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0067_01,1,G/10/S,0.0,0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,10,0067,3,Leeves,6.0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0067_02,0,G/10/S,18.0,0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,10,0067,3,Leeves,6.0,12.0,705.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0067_03,0,F/15/S,21.0,0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0,15,0067,3,Leeves,6.0,10.0,1983.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0068_01,0,E/4/S,,0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,4,0068,1,Binie,3.0,7.0,1048.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0069_01,0,F/16/S,42.0,0,887.0,0.0,9.0,6.0,0.0,,1,16,0069,1,,,17.0,902.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0070_01,0,F/13/P,19.0,0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0,13,0070,1,Brighttt,6.0,16.0,196.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0071_01,0,F/14/P,17.0,0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0,14,0071,1,Dillines,3.0,16.0,2181.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0072_01,0,F/17/S,14.0,0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0,17,0072,1,Brantuarez,7.0,8.0,1.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0073_01,0,D/3/P,37.0,0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,3,0073,1,Make,8.0,16.0,867.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0074_01,0,C/3/S,42.0,0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1,3,0074,1,Mostedry,4.0,16.0,8398.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0076_01,0,F/18/S,27.0,0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1,18,0076,1,Dal,10.0,18.0,1165.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0077_01,0,F/15/P,28.0,0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1,15,0077,1,Blité,1.0,10.0,1309.0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0078_01,0,C/4/S,38.0,0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,4,0078,1,Pokerheed,2.0,7.0,6161.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0081_01,1,G/13/S,13.0,0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0,13,0081,1,Vinozarks,9.0,16.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0082_01,0,F/16/P,42.0,0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,16,0082,3,Datte,4.0,17.0,7406.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0082_02,1,F/16/P,2.0,0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1,16,0082,3,Datte,4.0,17.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0082_03,0,F/16/P,8.0,0,0.0,0.0,0.0,0.0,0.0,,1,16,0082,3,,,17.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0084_01,0,G/14/S,24.0,0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,14,0084,1,Coopezmaney,5.0,16.0,688.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0085_01,1,C/5/S,40.0,0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1,5,0085,1,Ellcefulve,2.0,13.0,0.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0086_01,0,F/17/P,43.0,0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0,17,0086,1,Kinson,5.0,8.0,849.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0088_01,1,E/5/S,45.0,0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1,5,0088,1,Sacre,3.0,13.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0090_01,1,G/15/S,35.0,0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,15,0090,1,Santry,10.0,10.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0091_01,1,G/16/S,26.0,0,,0.0,0.0,0.0,0.0,Deanne Yorkland,1,16,0091,2,Yorkland,11.0,17.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0091_02,0,F/20/S,27.0,0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0,20,0091,2,Yorkland,11.0,15.0,917.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0092_01,0,G/9/P,19.0,0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0,9,0092,3,Dunnisey,4.0,16.0,671.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0092_02,1,G/9/P,0.0,0,0.0,0.0,,0.0,0.0,Stald Hewson,1,9,0092,3,Hewson,7.0,16.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0092_03,1,G/9/P,3.0,0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,9,0092,3,Hewson,7.0,16.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0097_01,0,A/2/S,54.0,0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,2,0097,1,Fictful,4.0,11.0,1211.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0098_01,0,G/11/P,26.0,0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0,11,0098,2,Carezquez,5.0,16.0,893.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0098_02,0,G/11/P,26.0,0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,11,0098,2,Carezquez,5.0,16.0,3768.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0099_01,0,F/19/P,23.0,0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0,19,0099,2,Leetersoney,3.0,22.0,1301.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0099_02,1,G/12/P,2.0,0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,12,0099,2,Connelson,4.0,5.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0101_01,1,,31.0,0,0.0,0.0,0.0,0.0,0.0,Book Trad,1,,0101,1,Trad,3.0,,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0102_01,0,F/23/S,18.0,0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0,23,0102,1,Holson,4.0,16.0,830.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0103_01,0,F/24/S,24.0,0,0.0,,0.0,0.0,17.0,Arlen Mclainez,1,24,0103,3,Mclainez,6.0,16.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0103_02,1,G/18/S,9.0,0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,18,0103,3,Mclainez,6.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0103_03,1,G/18/S,6.0,0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0,18,0103,3,Mclainez,6.0,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0105_01,1,F/21/P,27.0,0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0,21,0105,1,Cleachrand,7.0,16.0,572.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0107_01,0,D/2/S,21.0,0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,2,0107,1,Hart,3.0,11.0,1765.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
0108_01,1,G/19/S,23.0,0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0,19,0108,3,Handertiz,8.0,22.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0108_02,0,G/19/S,31.0,0,562.0,0.0,326.0,0.0,0.0,,0,19,0108,3,,,22.0,888.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0108_03,0,G/19/S,0.0,1,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,19,0108,3,Handertiz,8.0,22.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0110_01,0,,32.0,0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,,0110,4,Aloubtled,5.0,,4345.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0110_02,1,B/5/P,40.0,0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,5,0110,4,Bootious,2.0,13.0,331.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0110_03,0,B/5/P,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,1,5,0110,4,Aloubtled,5.0,13.0,15495.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0110_04,1,B/5/P,28.0,0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1,5,0110,4,Aloubtled,5.0,13.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
0111_01,1,E/6/S,29.0,0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1,6,0111,1,Supred,5.0,12.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0112_01,0,B/1/S,48.0,1,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1,1,0112,1,Cowtale,2.0,15.0,2641.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0113_01,0,F/23/P,64.0,0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,23,0113,1,Carvis,5.0,16.0,804.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0114_01,0,G/20/S,27.0,0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0,20,0114,1,Beckerson,5.0,15.0,906.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0115_01,1,F/24/P,26.0,0,0.0,0.0,0.0,0.0,,Rohs Pead,1,24,0115,1,Pead,5.0,16.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0116_01,0,D/4/P,33.0,0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1,4,0116,1,Suptive,2.0,7.0,2236.0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0119_01,0,A/0/P,39.0,0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,0,0119,2,Coning,5.0,18.0,2409.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0119_02,1,A/0/P,13.0,0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1,0,0119,2,Coning,5.0,18.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0120_01,1,F/25/P,24.0,0,0.0,0.0,0.0,0.0,,Bees Sacre,1,25,0120,1,Sacre,3.0,15.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0122_01,0,G/21/S,29.0,0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0,21,0122,1,Hayder,6.0,16.0,699.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0123_01,0,F/27/P,18.0,0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0,27,0123,1,Fielson,6.0,17.0,701.0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
0126_01,1,F/27/S,67.0,0,0.0,0.0,0.0,0.0,0.0,Milly Mish,1,27,0126,1,Mish,3.0,17.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
